Unnamed: 0,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
134.0,Survival,Scorpion,2018.0,0.555,0.133,0.596,0.0,0.123,-9.09,0.375,77.324,0.145,62
135.0,Nonstop,Scorpion,2018.0,0.912,0.0165,0.412,0.0126,0.104,-8.074,0.123,154.983,0.423,81
136.0,Elevate,Scorpion,2018.0,0.758,0.0152,0.474,0.0,0.116,-8.72,0.147,76.061,0.0542,62
137.0,Emotionless,Scorpion,2018.0,0.414,0.0248,0.677,0.0,0.0793,-5.12,0.254,172.521,0.0853,68
138.0,God's Plan,Scorpion,2018.0,0.754,0.0332,0.449,8.29e-05,0.552,-9.211,0.109,77.169,0.357,86
139.0,I'm Upset,Scorpion,2018.0,0.899,0.279,0.586,0.0,0.0836,-7.866,0.343,150.002,0.492,69
140.0,8 Out Of 10,Scorpion,2018.0,0.527,0.161,0.689,0.0,0.498,-7.87,0.741,170.538,0.31,62
141.0,Mob Ties,Scorpion,2018.0,0.754,0.045,0.575,0.00131,0.276,-8.393,0.0682,86.009,0.491,71
142.0,Can’t Take A Joke,Scorpion,2018.0,0.761,0.126,0.598,0.0,0.0839,-7.249,0.182,173.897,0.446,70
143.0,Sandra’s Rose,Scorpion,2018.0,0.486,0.0481,0.849,0.0,0.143,-5.432,0.246,152.086,0.519,65
144.0,Talk Up (feat. Jay-Z),Scorpion,2018.0,0.758,0.00354,0.491,6.5e-06,0.292,-9.877,0.138,140.121,0.334,60
145.0,Is There More,Scorpion,2018.0,0.708,0.727,0.547,0.0,0.159,-7.607,0.314,83.8,0.549,58
146.0,Peak,Scorpion,2018.0,0.687,0.85,0.218,0.000125,0.106,-13.539,0.0388,91.991,0.269,61
147.0,Summer Games,Scorpion,2018.0,0.776,0.477,0.482,0.0456,0.11,-11.269,0.0357,136.008,0.134,61
148.0,Jaded,Scorpion,2018.0,0.764,0.037,0.271,0.0,0.175,-5.697,0.0414,116.019,0.0371,72
149.0,Nice For What,Scorpion,2018.0,0.585,0.0891,0.909,9.7e-05,0.119,-6.474,0.0707,93.372,0.758,81
150.0,Finesse,Scorpion,2018.0,0.807,0.133,0.319,0.000338,0.101,-8.152,0.0581,94.992,0.299,78
