,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
73,Calling My Name,"Honestly, Nevermind",2022,0.826,0.62,0.276,8.53e-05,0.118,-11.227,0.266,123.985,0.484,63
74,Sticky,"Honestly, Nevermind",2022,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,137.027,0.0774,77
75,Massive,"Honestly, Nevermind",2022,0.499,0.114,0.671,0.0169,0.148,-6.774,0.0561,124.994,0.0557,72
76,Flight's Booked,"Honestly, Nevermind",2022,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,0.201,68
77,Overdrive,"Honestly, Nevermind",2022,0.502,0.444,0.645,0.00964,0.107,-10.611,0.122,109.739,0.518,60
78,Down Hill,"Honestly, Nevermind",2022,0.718,0.965,0.319,0.00036,0.0895,-11.261,0.0435,109.994,0.639,57
79,Tie That Binds,"Honestly, Nevermind",2022,0.775,0.0176,0.688,0.0917,0.108,-10.912,0.0593,120.017,0.284,59
80,Liability,"Honestly, Nevermind",2022,0.557,0.268,0.706,0.0,0.132,-6.592,0.0649,105.013,0.582,61
81,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",2022,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,0.366,89
82,Champagne Poetry,Certified Lover Boy,2021,0.423,0.758,0.667,0.0,0.246,-7.012,0.326,86.743,0.496,78
83,Papi’s Home,Certified Lover Boy,2021,0.701,0.112,0.741,0.0,0.699,-6.157,0.313,140.177,0.588,70
84,Girls Want Girls (with Lil Baby),Certified Lover Boy,2021,0.767,0.181,0.438,0.0,0.142,-8.726,0.29,86.975,0.381,78
85,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,2021,0.686,0.614,0.385,0.0,0.131,-8.35,0.297,143.07,0.147,69
86,Love All (with JAY-Z),Certified Lover Boy,2021,0.73,0.354,0.576,3.59e-05,0.15,-5.442,0.287,92.131,0.155,72
87,Fair Trade (with Travis Scott),Certified Lover Boy,2021,0.666,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,0.292,86
88,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,2021,0.803,0.000619,0.597,4.5e-06,0.323,-6.035,0.141,136.008,0.331,77
89,TSU,Certified Lover Boy,2021,0.568,0.228,0.56,3.05e-06,0.39,-9.059,0.42,130.019,0.246,75
90,N 2 Deep,Certified Lover Boy,2021,0.507,0.0518,0.429,0.0,0.109,-7.726,0.326,91.0,0.0744,70
91,Pipe Down,Certified Lover Boy,2021,0.518,0.128,0.69,0.0,0.176,-6.15,0.107,77.837,0.59,75
92,Yebba’s Heartbreak,Certified Lover Boy,2021,0.476,0.967,0.161,0.0381,0.109,-11.665,0.0407,119.614,0.0908,82
93,No Friends In The Industry,Certified Lover Boy,2021,0.84,0.0181,0.744,0.0,0.629,-4.751,0.113,83.737,0.171,73
94,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,2021,0.849,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,0.153,83
95,7am On Bridle Path,Certified Lover Boy,2021,0.724,0.225,0.531,0.0,0.11,-4.108,0.298,89.901,0.141,64
96,Race My Mind,Certified Lover Boy,2021,0.488,0.179,0.635,8.16e-06,0.156,-7.19,0.26,174.072,0.783,69
97,Fountains (with Tems),Certified Lover Boy,2021,0.843,0.181,0.485,0.0675,0.107,-8.735,0.195,100.053,0.689,73
98,Get Along Better,Certified Lover Boy,2021,0.32,0.00645,0.466,0.0,0.133,-6.77,0.0374,177.693,0.338,72
99,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,2021,0.519,0.118,0.851,0.0,0.178,-6.001,0.29,123.823,0.711,66
100,IMY2 (with Kid Cudi),Certified Lover Boy,2021,0.59,0.402,0.493,0.00504,0.129,-8.704,0.0367,150.026,0.0498,68
101,F*****g Fans,Certified Lover Boy,2021,0.783,0.213,0.416,0.0,0.103,-9.84,0.135,87.073,0.165,66
102,The Remorse,Certified Lover Boy,2021,0.473,0.812,0.53,6.92e-06,0.227,-8.506,0.249,74.732,0.637,61
103,Deep Pockets,Dark Lane Demo Tapes,2020,0.473,0.482,0.824,0.0,0.605,-3.68,0.163,77.888,0.374,58
104,When To Say When,Dark Lane Demo Tapes,2020,0.41,0.252,0.82,0.0,0.538,-6.808,0.533,170.718,0.526,61
105,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,2020,0.735,0.629,0.449,0.0,0.113,-7.507,0.347,122.947,0.0397,82
106,Not You Too (feat. Chris Brown),Dark Lane Demo Tapes,2020,0.458,0.342,0.452,1.94e-05,0.0703,-9.299,0.047,86.318,0.316,79
107,Toosie Slide,Dark Lane Demo Tapes,2020,0.83,0.289,0.49,3.04e-06,0.113,-8.82,0.209,81.604,0.845,71
108,Desires (with Future),Dark Lane Demo Tapes,2020,0.812,0.281,0.506,0.0,0.325,-7.706,0.116,145.074,0.554,67
109,Time Flies,Dark Lane Demo Tapes,2020,0.864,0.201,0.477,0.0,0.182,-5.786,0.224,86.46,0.5,79
110,Landed,Dark Lane Demo Tapes,2020,0.881,0.00606,0.636,0.0,0.111,-4.629,0.287,163.949,0.715,61
111,D4L,Dark Lane Demo Tapes,2020,0.718,0.0128,0.706,0.0,0.352,-5.709,0.06,170.004,0.815,61
112,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,2020,0.825,0.163,0.373,0.0,0.368,-5.532,0.108,77.271,0.12,80
113,Losses,Dark Lane Demo Tapes,2020,0.551,0.28,0.57,0.0,0.424,-7.385,0.351,85.687,0.505,59
114,From Florida With Love,Dark Lane Demo Tapes,2020,0.787,0.768,0.477,0.0,0.104,-7.837,0.199,80.506,0.476,63
115,Demons (feat. Fivio Foreign & Sosa Geek),Dark Lane Demo Tapes,2020,0.543,0.423,0.766,0.0,0.155,-3.387,0.343,106.869,0.729,62
116,War,Dark Lane Demo Tapes,2020,0.749,0.292,0.792,0.0,0.109,-4.151,0.0826,144.064,0.239,65
117,Dreams Money Can Buy,Care Package,2019,0.423,0.765,0.587,0.0,0.114,-6.635,0.529,180.331,0.33,58
118,The Motion,Care Package,2019,0.631,0.371,0.788,0.000317,0.108,-7.142,0.102,157.769,0.544,64
